"Energie; verbruik en producentenprijs naar energiedrager"
"Onderwerpen_1";"Onderwerpen_2";"Energiedragers";"Perioden";"2014 augustus*";"2015 1e kwartaal*";"2015 mei*";"2015 juni*";"2015 2e kwartaal*";"2015 augustus*"
"Energieverbruik";"Hoeveelheid";"Totaal energiedragers";"PJ";"227";".";"224";"209";".";"211"
"Energieverbruik";"Hoeveelheid";"Aardgas";"PJ";"76";".";"75";"62";".";"63"
"Energieverbruik";"Hoeveelheid";"Aardoliegrondstoffen en -producten";"PJ";"99";".";"87";"86";".";"91"
"Energieverbruik";"Hoeveelheid";"Steenkool en steenkoolproducten";"PJ";"30";".";"39";"37";".";"35"
"Energieverbruik";"Hoeveelheid";"Andere energiedragers";"PJ";"22";".";"23";"24";".";"22"
"Energieverbruik";"Hoeveelheid";"Elektriciteit";"PJ";"32";".";"33";"33";".";"33"
"Energieverbruik";"Ontwikkeling t.o.v. een jaar eerder";"Totaal energiedragers";"%";"-1.2";".";"-7.9";"-6.6";".";"-7.2"
"Energieverbruik";"Ontwikkeling t.o.v. een jaar eerder";"Aardgas";"%";"14.5";".";"-8.8";"-13.8";".";"-17.3"
"Energieverbruik";"Ontwikkeling t.o.v. een jaar eerder";"Aardoliegrondstoffen en -producten";"%";"-7.4";".";"-20.7";"-15.5";".";"-8.6"
"Energieverbruik";"Ontwikkeling t.o.v. een jaar eerder";"Steenkool en steenkoolproducten";"%";"-0.9";".";"40.7";"24.9";".";"16.4"
"Energieverbruik";"Ontwikkeling t.o.v. een jaar eerder";"Andere energiedragers";"%";"-16.2";".";"-3.0";"18.5";".";"2.3"
"Energieverbruik";"Ontwikkeling t.o.v. een jaar eerder";"Elektriciteit";"%";"-3.9";".";"-0.4";"1.3";".";"1.4"
"Producentenprijs";"Prijsindexcijfer";"Totaal energiedragers";"2010=100";"108.1";"92.7";"93.0";"92.6";"93.9";"83.9"
"Producentenprijs";"Prijsindexcijfer";"Aardgas";"2010=100";"103.3";"109.8";"102.2";"101.6";"103.8";"100.3"
"Producentenprijs";"Prijsindexcijfer";"Aardoliegrondstoffen en -producten";"2010=100";"124.9";"79.4";"89.5";"88.8";"89.6";"70.0"
"Producentenprijs";"Prijsindexcijfer";"Steenkool en steenkoolproducten";"2010=100";"72.2";"73.0";"70.9";"71.3";"71.8";"66.2"
"Producentenprijs";"Prijsindexcijfer";"Andere energiedragers";"2010=100";".";".";".";".";".";"."
"Producentenprijs";"Prijsindexcijfer";"Elektriciteit";"2010=100";"87.1";"85.9";"82.2";"83.8";"83.6";"81.9"
"Producentenprijs";"Ontwikkeling t.o.v. een jaar eerder";"Totaal energiedragers";"%";"-14.5";"-24.1";"-18.0";"-18.4";"-17.6";"-22.4"
"Producentenprijs";"Ontwikkeling t.o.v. een jaar eerder";"Aardgas";"%";"-20.0";"-14.2";"-6.6";"-4.5";"-5.7";"-2.9"
"Producentenprijs";"Ontwikkeling t.o.v. een jaar eerder";"Aardoliegrondstoffen en -producten";"%";"-11.1";"-38.8";"-31.7";"-34.0";"-31.8";"-44.0"
"Producentenprijs";"Ontwikkeling t.o.v. een jaar eerder";"Steenkool en steenkoolproducten";"%";"-1.4";"-9.6";"-3.0";"-3.3";"-3.2";"-8.3"
"Producentenprijs";"Ontwikkeling t.o.v. een jaar eerder";"Andere energiedragers";"%";".";".";".";".";".";"."
"Producentenprijs";"Ontwikkeling t.o.v. een jaar eerder";"Elektriciteit";"%";"-7.8";"-9.4";"-7.3";"-4.8";"-5.8";"-5.9"
"© Centraal Bureau voor de Statistiek, Den Haag/Heerlen 4-1-2016"
