"Energiebalans; aanbod, omzetting en verbruik"
"";"";"";"";"Perioden";"1995";"1995";"1995";"1995";"1995";"1995";"1995";"1996";"1996";"1996";"1996";"1996";"1996";"1996";"1997";"1997";"1997";"1997";"1997";"1997";"1997";"1998";"1998";"1998";"1998";"1998";"1998";"1998";"1999";"1999";"1999";"1999";"1999";"1999";"1999";"2000";"2000";"2000";"2000";"2000";"2000";"2000";"2001";"2001";"2001";"2001";"2001";"2001";"2001";"2002";"2002";"2002";"2002";"2002";"2002";"2002";"2003";"2003";"2003";"2003";"2003";"2003";"2003";"2004";"2004";"2004";"2004";"2004";"2004";"2004";"2005";"2005";"2005";"2005";"2005";"2005";"2005";"2006";"2006";"2006";"2006";"2006";"2006";"2006";"2007";"2007";"2007";"2007";"2007";"2007";"2007";"2008";"2008";"2008";"2008";"2008";"2008";"2008";"2009";"2009";"2009";"2009";"2009";"2009";"2009";"2010";"2010";"2010";"2010";"2010";"2010";"2010";"2011";"2011";"2011";"2011";"2011";"2011";"2011";"2012";"2012";"2012";"2012";"2012";"2012";"2012";"2013";"2013";"2013";"2013";"2013";"2013";"2013";"2014**";"2014**";"2014**";"2014**";"2014**";"2014**";"2014**"
"Onderwerpen_1";"Onderwerpen_2";"Onderwerpen_3";"Onderwerpen_4";"Energiedragers";"Totaal energiedragers";"Totaal kool en koolproducten";"Totaal aardoliegrondstoffen en producten";"Aardgas";"Hernieuwbare energie";"Elektriciteit";"Warmte";"Totaal energiedragers";"Totaal kool en koolproducten";"Totaal aardoliegrondstoffen en producten";"Aardgas";"Hernieuwbare energie";"Elektriciteit";"Warmte";"Totaal energiedragers";"Totaal kool en koolproducten";"Totaal aardoliegrondstoffen en producten";"Aardgas";"Hernieuwbare energie";"Elektriciteit";"Warmte";"Totaal energiedragers";"Totaal kool en koolproducten";"Totaal aardoliegrondstoffen en producten";"Aardgas";"Hernieuwbare energie";"Elektriciteit";"Warmte";"Totaal energiedragers";"Totaal kool en koolproducten";"Totaal aardoliegrondstoffen en producten";"Aardgas";"Hernieuwbare energie";"Elektriciteit";"Warmte";"Totaal energiedragers";"Totaal kool en koolproducten";"Totaal aardoliegrondstoffen en producten";"Aardgas";"Hernieuwbare energie";"Elektriciteit";"Warmte";"Totaal energiedragers";"Totaal kool en koolproducten";"Totaal aardoliegrondstoffen en producten";"Aardgas";"Hernieuwbare energie";"Elektriciteit";"Warmte";"Totaal energiedragers";"Totaal kool en koolproducten";"Totaal aardoliegrondstoffen en producten";"Aardgas";"Hernieuwbare energie";"Elektriciteit";"Warmte";"Totaal energiedragers";"Totaal kool en koolproducten";"Totaal aardoliegrondstoffen en producten";"Aardgas";"Hernieuwbare energie";"Elektriciteit";"Warmte";"Totaal energiedragers";"Totaal kool en koolproducten";"Totaal aardoliegrondstoffen en producten";"Aardgas";"Hernieuwbare energie";"Elektriciteit";"Warmte";"Totaal energiedragers";"Totaal kool en koolproducten";"Totaal aardoliegrondstoffen en producten";"Aardgas";"Hernieuwbare energie";"Elektriciteit";"Warmte";"Totaal energiedragers";"Totaal kool en koolproducten";"Totaal aardoliegrondstoffen en producten";"Aardgas";"Hernieuwbare energie";"Elektriciteit";"Warmte";"Totaal energiedragers";"Totaal kool en koolproducten";"Totaal aardoliegrondstoffen en producten";"Aardgas";"Hernieuwbare energie";"Elektriciteit";"Warmte";"Totaal energiedragers";"Totaal kool en koolproducten";"Totaal aardoliegrondstoffen en producten";"Aardgas";"Hernieuwbare energie";"Elektriciteit";"Warmte";"Totaal energiedragers";"Totaal kool en koolproducten";"Totaal aardoliegrondstoffen en producten";"Aardgas";"Hernieuwbare energie";"Elektriciteit";"Warmte";"Totaal energiedragers";"Totaal kool en koolproducten";"Totaal aardoliegrondstoffen en producten";"Aardgas";"Hernieuwbare energie";"Elektriciteit";"Warmte";"Totaal energiedragers";"Totaal kool en koolproducten";"Totaal aardoliegrondstoffen en producten";"Aardgas";"Hernieuwbare energie";"Elektriciteit";"Warmte";"Totaal energiedragers";"Totaal kool en koolproducten";"Totaal aardoliegrondstoffen en producten";"Aardgas";"Hernieuwbare energie";"Elektriciteit";"Warmte";"Totaal energiedragers";"Totaal kool en koolproducten";"Totaal aardoliegrondstoffen en producten";"Aardgas";"Hernieuwbare energie";"Elektriciteit";"Warmte";"Totaal energiedragers";"Totaal kool en koolproducten";"Totaal aardoliegrondstoffen en producten";"Aardgas";"Hernieuwbare energie";"Elektriciteit";"Warmte"
"Energieaanbod";"Totaal aanbod (TPES)";"Totaal aanbod (TPES)";"Totaal aanbod (TPES)";"PJ";"3097.2";"373.0";"1138.0";"1444.2";"34.9";"41.0";"-";"3269.5";"359.6";"1169.0";"1591.0";"40.5";"38.1";"-";"3163.5";"350.3";"1171.1";"1496.8";"43.7";"45.5";"-";"3184.0";"356.7";"1180.1";"1487.5";"46.0";"42.5";"-";"3126.0";"312.7";"1179.5";"1447.8";"47.5";"66.4";"-";"3159.1";"325.3";"1176.5";"1465.0";"52.3";"68.1";"-";"3255.2";"346.1";"1217.3";"1501.8";"55.0";"62.2";"-";"3294.0";"348.0";"1253.6";"1498.5";"60.7";"59.0";"-";"3405.4";"359.5";"1341.9";"1506.8";"58.7";"61.2";"-";"3460.7";"355.1";"1362.0";"1538.3";"69.6";"58.4";"-";"3407.2";"338.6";"1355.5";"1478.8";"87.8";"65.9";"-";"3361.1";"323.4";"1359.5";"1434.2";"93.3";"77.3";"-";"3382.8";"352.3";"1397.5";"1392.7";"96.9";"63.4";"-";"3350.4";"333.3";"1311.1";"1450.8";"117.8";"57.1";"-";"3283.8";"313.0";"1278.6";"1464.3";"130.3";"17.6";"-";"3489.6";"316.0";"1320.1";"1641.3";"126.8";"10.0";"-";"3240.2";"311.7";"1253.2";"1432.0";"131.7";"32.7";"-";"3258.7";"342.5";"1265.4";"1371.2";"139.4";"61.6";"-";"3219.1";"342.7";"1209.5";"1394.9";"137.1";"65.7";"-";"3044.8";"379.1";"1187.5";"1207.2";"136.4";"53.0";"-"
"Verbruikssaldo";"Verbruikssaldo";"Verbruikssaldo";"Verbruikssaldo";"PJ";"3105.7";"373.7";"1124.4";"1468.9";"34.9";"37.8";"0.0";"3290.5";"361.7";"1153.0";"1627.9";"40.4";"36.3";"0.0";"3177.4";"352.3";"1155.6";"1525.3";"43.8";"44.3";"0.0";"3188.4";"358.6";"1166.3";"1506.2";"46.1";"40.1";"0.0";"3139.5";"312.7";"1171.2";"1471.6";"47.5";"64.3";"0.0";"3156.9";"325.3";"1166.9";"1475.7";"52.3";"64.8";"0.0";"3242.1";"346.2";"1203.9";"1505.5";"55.0";"58.8";"0.0";"3270.6";"348.0";"1241.5";"1490.3";"60.7";"55.9";"0.0";"3384.4";"359.3";"1329.5";"1500.6";"58.7";"58.9";"0.0";"3442.6";"354.6";"1351.2";"1536.4";"69.6";"53.3";"0.0";"3408.2";"338.6";"1342.1";"1492.4";"87.7";"66.7";"0.0";"3342.8";"323.9";"1346.0";"1431.8";"93.2";"74.5";"0.0";"3368.4";"351.9";"1387.8";"1391.0";"97.1";"60.7";"-";"3337.5";"333.5";"1301.7";"1449.4";"117.9";"54.9";"0.0";"3277.7";"312.4";"1272.5";"1463.5";"130.3";"19.0";"0.0";"3484.5";"315.5";"1312.3";"1643.2";"126.8";"11.2";"0.0";"3235.1";"311.4";"1247.4";"1434.1";"131.8";"31.5";"0.0";"3227.8";"341.1";"1257.8";"1358.0";"139.5";"52.9";"0.0";"3206.0";"342.7";"1218.7";"1374.8";"137.1";"63.4";"0.0";"3038.9";"378.7";"1195.5";"1198.5";"136.4";"48.2";"0.0"
"Eigen verbruik energiesector";"Totaal";"Totaal";"Totaal";"PJ";"171.1";"-";"112.8";"29.5";"0.0";"11.1";"17.7";"174.3";"-";"108.6";"35.6";"-";"12.0";"18.2";"166.8";"-";"98.5";"40.9";"0.0";"11.5";"16.0";"168.0";"-";"91.0";"45.1";"0.0";"12.4";"19.5";"156.0";"-";"80.4";"44.7";"0.0";"12.0";"18.8";"153.9";"-";"84.4";"36.0";"0.0";"11.9";"21.6";"153.5";"-";"84.5";"34.0";"0.0";"12.5";"22.5";"149.8";"0.0";"76.2";"39.8";"0.0";"12.1";"21.6";"151.1";"-";"79.8";"37.6";"0.0";"12.5";"21.2";"157.5";"-";"86.6";"38.1";"0.0";"12.7";"20.2";"162.8";"0.0";"90.1";"38.5";"-";"13.8";"20.4";"153.2";"0.0";"85.4";"38.2";"-";"13.4";"16.2";"166.6";"-";"93.6";"37.9";"-";"13.8";"21.2";"156.8";"-";"87.1";"36.0";"-";"14.3";"19.4";"155.1";"-";"77.6";"41.2";"-";"13.7";"22.7";"160.4";"-";"72.1";"48.6";"-";"15.5";"24.2";"172.5";"-";"78.1";"53.8";"-";"17.5";"23.1";"165.2";"-";"81.5";"46.3";"-";"16.2";"21.3";"165.5";"-";"76.2";"50.7";"0.0";"19.5";"19.1";"160.7";"-";"80.8";"42.5";"-";"19.8";"17.5"
"Verliezen bij distributie";"Verliezen bij distributie";"Verliezen bij distributie";"Verliezen bij distributie";"PJ";"20.6";"-";"-";"1.0";"-";"14.9";"4.7";"22.0";"-";"-";"1.0";"-";"15.4";"5.6";"21.3";"-";"-";"1.0";"-";"16.0";"4.2";"22.8";"-";"-";"1.2";"-";"16.7";"4.9";"22.9";"-";"-";"1.4";"-";"17.2";"4.4";"23.6";"-";"-";"1.4";"-";"17.7";"4.5";"24.4";"-";"-";"1.5";"-";"18.2";"4.7";"24.9";"-";"-";"1.6";"-";"18.4";"4.9";"25.4";"-";"-";"1.6";"-";"18.6";"5.1";"26.3";"-";"-";"1.7";"-";"19.3";"5.3";"26.2";"-";"-";"1.7";"-";"19.5";"5.1";"26.4";"-";"-";"1.7";"-";"19.6";"5.1";"25.1";"-";"-";"1.5";"-";"19.9";"3.7";"25.4";"-";"-";"2.0";"-";"19.6";"3.9";"24.6";"-";"-";"1.8";"-";"18.9";"3.9";"26.2";"-";"-";"1.8";"-";"20.3";"4.2";"24.3";"-";"-";"1.7";"-";"18.7";"3.8";"23.9";"-";"-";"1.7";"-";"18.7";"3.4";"23.7";"-";"-";"1.7";"-";"18.5";"3.5";"22.6";"-";"-";"1.7";"-";"17.8";"3.1"
"Finaal verbruik";"Totaal finaal verbruik";"Totaal finaal verbruik";"Totaal finaal verbruik";"PJ";"2434.7";"35.1";"915.5";"991.3";"14.1";"289.6";"185.5";"2601.9";"35.3";"943.9";"1105.5";"14.4";"301.5";"197.8";"2494.0";"34.9";"950.0";"977.9";"14.4";"313.4";"199.4";"2480.7";"30.9";"952.6";"949.1";"14.1";"324.3";"205.9";"2476.4";"25.8";"978.5";"907.9";"13.3";"332.4";"215.1";"2480.6";"24.1";"976.3";"908.2";"14.2";"342.3";"213.0";"2522.1";"24.1";"1005.0";"915.8";"14.0";"348.9";"211.9";"2554.6";"23.8";"1063.3";"884.1";"13.9";"354.8";"211.7";"2651.2";"24.6";"1139.2";"898.1";"14.0";"360.3";"212.0";"2692.6";"25.9";"1156.8";"900.9";"14.9";"369.2";"220.1";"2670.1";"25.9";"1155.7";"872.2";"15.0";"375.9";"219.3";"2644.9";"26.8";"1184.2";"832.6";"15.6";"380.4";"199.6";"2614.6";"29.1";"1199.9";"771.2";"16.0";"388.3";"204.4";"2601.9";"29.3";"1144.8";"799.6";"16.1";"390.7";"216.1";"2533.9";"23.8";"1128.9";"784.4";"16.3";"377.1";"198.7";"2737.4";"25.6";"1186.1";"903.2";"15.7";"387.9";"215.1";"2510.9";"25.6";"1118.4";"751.3";"15.4";"388.4";"208.0";"2529.5";"25.0";"1127.0";"783.7";"15.9";"373.4";"199.3";"2524.0";"23.3";"1100.1";"805.3";"16.9";"374.9";"198.2";"2324.4";"21.5";"1058.7";"676.9";"18.7";"365.2";"179.5"
"Finaal verbruik";"Finaal energieverbruik";"Totaal";"Totaal";"PJ";"1959.7";"24.8";"551.4";"890.7";"14.1";"289.6";"185.5";"2126.5";"24.3";"575.5";"1009.3";"14.4";"301.5";"197.8";"1997.9";"24.7";"567.7";"874.4";"14.4";"313.4";"199.4";"1995.2";"22.2";"575.4";"849.5";"14.1";"324.3";"205.9";"1986.9";"19.9";"593.3";"809.5";"13.3";"332.4";"215.1";"1982.3";"19.2";"584.9";"806.1";"14.2";"342.3";"213.0";"2016.0";"19.6";"594.4";"824.9";"14.0";"348.9";"211.9";"2013.3";"19.4";"614.6";"796.0";"13.9";"354.8";"211.7";"2045.7";"19.9";"626.2";"810.4";"14.0";"360.3";"212.0";"2067.4";"21.3";"626.5";"810.7";"14.9";"369.2";"220.1";"2036.2";"21.2";"620.9";"777.8";"15.0";"375.9";"219.3";"2022.7";"22.2";"652.5";"746.6";"15.6";"380.4";"199.6";"1983.1";"24.0";"663.3";"681.3";"16.0";"388.3";"204.4";"2021.5";"23.9";"651.8";"717.5";"16.1";"390.7";"216.1";"1951.4";"19.6";"631.3";"703.6";"16.3";"377.1";"198.7";"2094.0";"21.6";"640.4";"809.6";"15.7";"387.9";"215.1";"1934.7";"21.3";"636.0";"661.8";"15.4";"388.4";"208.0";"1935.1";"21.0";"618.2";"702.0";"15.9";"373.4";"199.3";"1938.8";"19.7";"600.5";"723.4";"16.9";"374.9";"198.2";"1753.5";"19.8";"572.3";"594.2";"18.7";"365.2";"179.5"
"Finaal verbruik";"Finaal energieverbruik";"Nijverheid (exclusief de energiesector)";"Totaal";"PJ";"611.1";"24.6";"83.0";"213.1";"3.0";"131.1";"152.7";"637.8";"24.1";"90.9";"223.4";"3.2";"135.4";"157.3";"624.5";"24.5";"86.4";"211.4";"3.1";"138.6";"156.5";"626.2";"22.0";"85.4";"212.2";"3.1";"141.3";"158.4";"642.5";"19.8";"95.4";"208.2";"3.0";"143.5";"169.3";"628.4";"19.1";"88.6";"203.2";"2.9";"145.5";"166.5";"624.2";"19.5";"95.3";"191.6";"2.8";"146.4";"166.3";"639.8";"19.3";"108.9";"191.0";"3.0";"148.8";"165.8";"643.9";"19.8";"115.8";"187.7";"3.2";"146.3";"168.1";"652.9";"21.3";"110.7";"188.7";"3.9";"148.8";"176.6";"642.9";"21.1";"102.2";"187.0";"4.0";"149.5";"175.3";"626.0";"22.1";"120.2";"179.1";"4.1";"149.8";"147.5";"630.4";"23.9";"128.0";"176.2";"4.3";"152.2";"142.9";"611.1";"23.7";"115.1";"171.5";"4.2";"151.2";"142.6";"548.9";"19.4";"111.9";"156.3";"4.3";"131.6";"122.6";"588.1";"21.3";"116.7";"174.2";"3.3";"141.2";"128.9";"571.5";"21.1";"109.5";"169.1";"3.0";"140.8";"125.8";"552.7";"20.7";"114.4";"164.4";"3.0";"125.7";"122.6";"544.5";"19.5";"107.0";"165.4";"3.1";"125.1";"122.2";"533.9";"19.7";"111.2";"163.6";"3.3";"119.1";"114.3"
"Finaal verbruik";"Finaal energieverbruik";"Nijverheid (exclusief de energiesector)";"IJzer- en staalindustrie";"PJ";"44.5";"20.9";"0.2";"11.6";"-";"8.4";"3.4";"44.2";"20.7";"0.2";"12.0";"-";"8.0";"3.3";"43.9";"20.0";"0.2";"12.3";"-";"8.4";"3.1";"41.4";"17.9";"0.2";"12.2";"-";"8.3";"2.9";"38.5";"15.0";"0.2";"12.5";"-";"8.1";"2.6";"39.8";"15.3";"0.2";"12.4";"-";"9.4";"2.4";"40.6";"15.8";"0.1";"12.5";"-";"9.5";"2.7";"40.6";"16.1";"0.1";"12.4";"-";"9.3";"2.6";"41.1";"17.0";"0.1";"11.8";"-";"9.6";"2.5";"42.8";"18.9";"0.2";"11.1";"-";"9.7";"2.9";"42.3";"18.6";"0.2";"11.1";"-";"9.8";"2.7";"42.4";"19.4";"0.1";"10.7";"-";"9.6";"2.5";"42.2";"19.2";"0.2";"10.4";"-";"9.9";"2.4";"42.1";"19.7";"0.2";"10.2";"-";"9.6";"2.4";"35.9";"15.4";"0.2";"8.8";"-";"8.6";"2.9";"41.0";"17.2";"0.2";"11.2";"-";"9.5";"2.8";"40.6";"17.2";"0.1";"10.8";"-";"9.7";"2.8";"40.2";"16.7";"0.2";"10.8";"-";"9.7";"2.8";"39.6";"16.6";"0.2";"10.5";"-";"9.5";"2.7";"39.4";"16.6";"0.2";"10.5";"-";"9.7";"2.4"
