"Energiebalans; aanbod, omzetting en verbruik";;;;;;;;;;;;;;;;;;;;;;;;
;;;;Perioden;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014**
Onderwerpen_1;Onderwerpen_2;Onderwerpen_3;Onderwerpen_4;Energiedragers;Totaal energiedragers;Totaal energiedragers;Totaal energiedragers;Totaal energiedragers;Totaal energiedragers;Totaal energiedragers;Totaal energiedragers;Totaal energiedragers;Totaal energiedragers;Totaal energiedragers;Totaal energiedragers;Totaal energiedragers;Totaal energiedragers;Totaal energiedragers;Totaal energiedragers;Totaal energiedragers;Totaal energiedragers;Totaal energiedragers;Totaal energiedragers;Totaal energiedragers
Energieaanbod;Totaal aanbod (TPES);Totaal aanbod (TPES);Totaal aanbod (TPES);PJ;3097.2;3269.5;3163.5;3184.0;3126.0;3159.1;3255.2;3294.0;3405.4;3460.7;3407.2;3361.1;3382.8;3350.4;3283.8;3489.6;3240.2;3258.7;3219.1;3044.8
Eigen verbruik energiesector;Totaal;Totaal;Energiesector;PJ;171.1;174.3;166.8;168.0;156.0;153.9;153.5;149.8;151.1;157.5;162.8;153.2;166.6;156.8;155.1;160.4;172.5;165.2;165.5;160.7
Finaal verbruik;Totaal finaal verbruik;Totaal finaal verbruik;Totaal finaal verbruik;PJ;2434.7;2601.9;2494.0;2480.7;2476.4;2480.6;2522.1;2554.6;2651.2;2692.6;2670.1;2644.9;2614.6;2601.9;2533.9;2737.4;2510.9;2529.5;2524.0;2324.4
Finaal verbruik;Finaal energieverbruik;Totaal;Totaal;PJ;1959.7;2126.5;1997.9;1995.2;1986.9;1982.3;2016.0;2013.3;2045.7;2067.4;2036.2;2022.7;1983.1;2021.5;1951.4;2094.0;1934.7;1935.1;1938.8;1753.5
Finaal verbruik;Finaal energieverbruik;Nijverheid (exclusief de energiesector);Nijverheid Totaal;PJ;611.1;637.8;624.5;626.2;642.5;628.4;624.2;639.8;643.9;652.9;642.9;626.0;630.4;611.1;548.9;588.1;571.5;552.7;544.5;533.9
Finaal verbruik;Finaal energieverbruik;Nijverheid (exclusief de energiesector);IJzer- en staalindustrie;PJ;44.5;44.2;43.9;41.4;38.5;39.8;40.6;40.6;41.1;42.8;42.3;42.4;42.2;42.1;35.9;41.0;40.6;40.2;39.6;39.4
Finaal verbruik;Finaal energieverbruik;Nijverheid (exclusief de energiesector);Chemie en farmaceutische industrie;PJ;300.6;308.4;294.6;294.6;306.5;295.7;297.6;316.0;326.3;332.1;326.5;315.0;320.7;299.6;282.3;301.7;293.4;290.8;285.2;281.8
Finaal verbruik;Finaal energieverbruik;Nijverheid (exclusief de energiesector);Non-ferrometalenindustrie;PJ;22.2;22.5;23.3;25.2;25.6;27.0;25.6;25.6;25.9;28.4;28.5;25.8;27.3;28.6;18.1;22.1;26.5;14.0;14.3;9.4
Finaal verbruik;Finaal energieverbruik;Nijverheid (exclusief de energiesector);Bouwmaterialenindustrie;PJ;33.6;35.6;36.2;34.7;35.4;36.2;35.5;31.3;31.3;31.5;31.9;32.0;33.6;33.3;30.2;31.1;27.6;25.5;23.7;23.8
Finaal verbruik;Finaal energieverbruik;Nijverheid (exclusief de energiesector);Transportmiddelenindustrie;PJ;5.6;5.7;5.9;5.7;5.4;5.6;5.7;5.9;5.7;5.4;5.0;4.6;4.6;5.4;5.5;5.6;4.0;3.9;4.2;4.3
Finaal verbruik;Finaal energieverbruik;Nijverheid (exclusief de energiesector);Metaalproducten en machine-industrie;PJ;27.9;29.4;29.0;29.5;32.3;29.9;29.6;29.6;27.4;27.5;28.0;26.9;24.8;25.6;27.1;27.4;21.6;22.5;21.5;20.7
Finaal verbruik;Finaal energieverbruik;Nijverheid (exclusief de energiesector);Delfstoffenwinning (geen olie en gas);PJ;2.0;2.0;4.3;6.7;7.1;6.2;5.1;5.7;7.1;7.2;5.6;6.1;5.7;9.2;3.3;9.8;5.8;6.2;5.9;3.8
Finaal verbruik;Finaal energieverbruik;Nijverheid (exclusief de energiesector);Voedings- en genotmiddelenindustrie;PJ;88.5;97.4;92.9;94.2;98.6;94.4;92.5;93.6;91.3;89.2;88.2;87.6;86.8;83.1;72.0;75.4;79.4;77.4;76.4;81.8
Finaal verbruik;Finaal energieverbruik;Nijverheid (exclusief de energiesector);Papier- en grafische industrie;PJ;36.1;39.0;40.5;39.9;39.9;40.5;38.3;39.7;38.6;39.4;38.5;37.9;36.8;34.5;28.2;29.5;27.4;27.5;27.4;24.3
Finaal verbruik;Finaal energieverbruik;Nijverheid (exclusief de energiesector);Houtindustrie;PJ;3.9;3.9;3.9;4.2;4.2;4.6;3.5;3.5;3.3;3.1;3.3;3.0;3.2;3.1;3.3;3.1;2.7;2.7;2.4;2.8
Finaal verbruik;Finaal energieverbruik;Nijverheid (exclusief de energiesector);Bouwnijverheid;PJ;24.3;27.9;27.1;27.3;27.0;26.3;27.2;25.7;25.1;25.3;25.0;25.4;25.7;27.2;26.8;24.5;24.4;24.0;26.1;25.5
Finaal verbruik;Finaal energieverbruik;Nijverheid (exclusief de energiesector);Textiel-, kleding- en lederindustrie;PJ;9.0;8.2;9.3;9.9;8.1;8.3;7.8;7.5;7.0;6.2;5.1;4.7;4.8;4.6;4.3;4.8;4.2;4.2;4.3;3.7
Finaal verbruik;Finaal energieverbruik;Nijverheid (exclusief de energiesector);Nijverheid Onbekend;PJ;13.0;13.6;13.5;13.1;14.0;13.8;15.2;15.2;14.2;15.0;14.8;14.7;14.2;14.8;11.8;12.2;13.9;13.9;13.4;12.7
