"Energieverbruik particuliere woningen; woningtype en regio's"
"";"";"Onderwerpen";"Gemiddeld aardgasverbruik";"Gemiddeld elektriciteitsverbruik";"Stadsverwarming"
"Woningkenmerken";"Regio's";"Perioden";"m3";"kWh";"%"
"Totaal woningen";"Nederland";"2010";"1850";"3300";"4.6"
"Totaal woningen";"Nederland";"2011";"1450";"3250";"4.5"
"Totaal woningen";"Nederland";"2012";"1500";"3200";"5.1"
"Totaal woningen";"Nederland";"2013";"1600";"3150";"4.9"
"Totaal woningen";"Nederland";"2014*";"1200";"3050";"4.8"
"Totaal woningen";"Noord-Nederland (LD)";"2010";"2200";"3200";"."
"Totaal woningen";"Noord-Nederland (LD)";"2011";"1700";"3200";"."
"Totaal woningen";"Noord-Nederland (LD)";"2012";"1850";"3100";"0.3"
"Totaal woningen";"Noord-Nederland (LD)";"2013";"1950";"3050";"0.3"
"Totaal woningen";"Noord-Nederland (LD)";"2014*";"1450";"2900";"0.3"
"Totaal woningen";"Overijssel (PV)";"2010";"2100";"3450";"."
"Totaal woningen";"Overijssel (PV)";"2011";"1650";"3450";"."
"Totaal woningen";"Overijssel (PV)";"2012";"1750";"3400";"2.3"
"Totaal woningen";"Overijssel (PV)";"2013";"1850";"3350";"2.0"
"Totaal woningen";"Overijssel (PV)";"2014*";"1300";"3250";"2.0"
"Totaal woningen";"Utrecht (PV)";"2010";"1750";"3350";"11.0"
"Totaal woningen";"Utrecht (PV)";"2011";"1350";"3350";"10.0"
"Totaal woningen";"Utrecht (PV)";"2012";"1350";"3250";"12.5"
"Totaal woningen";"Utrecht (PV)";"2013";"1450";"3200";"11.5"
"Totaal woningen";"Utrecht (PV)";"2014*";"1050";"3100";"11.2"
"Totaal woningen";"Noord-Holland (PV)";"2010";"1650";"3000";"."
"Totaal woningen";"Noord-Holland (PV)";"2011";"1300";"3000";"."
"Totaal woningen";"Noord-Holland (PV)";"2012";"1350";"2950";"5.1"
"Totaal woningen";"Noord-Holland (PV)";"2013";"1450";"2900";"4.9"
"Totaal woningen";"Noord-Holland (PV)";"2014*";"1100";"2800";"4.8"
"Totaal woningen";"Zuid-Holland (PV)";"2010";"1600";"3100";"6.0"
"Totaal woningen";"Zuid-Holland (PV)";"2011";"1250";"3050";"6.0"
"Totaal woningen";"Zuid-Holland (PV)";"2012";"1300";"3000";"6.2"
"Totaal woningen";"Zuid-Holland (PV)";"2013";"1400";"2950";"6.1"
"Totaal woningen";"Zuid-Holland (PV)";"2014*";"1050";"2850";"5.9"
"Totaal woningen";"Noord-Brabant (PV)";"2010";"1950";"3600";"."
"Totaal woningen";"Noord-Brabant (PV)";"2011";"1500";"3550";"."
"Totaal woningen";"Noord-Brabant (PV)";"2012";"1600";"3550";"5.3"
"Totaal woningen";"Noord-Brabant (PV)";"2013";"1700";"3450";"5.0"
"Totaal woningen";"Noord-Brabant (PV)";"2014*";"1250";"3350";"4.8"
"Totaal woningen";"Achtkarspelen";"2010";"2350";"3150";"-"
"Totaal woningen";"Achtkarspelen";"2011";"1850";"3200";"-"
"Totaal woningen";"Achtkarspelen";"2012";"1950";"3150";"-"
"Totaal woningen";"Achtkarspelen";"2013";"2050";"3000";"-"
"Totaal woningen";"Achtkarspelen";"2014*";"1500";"2900";"-"
"Totaal woningen";"Amsterdam";"2010";"1300";"2350";"5.0"
"Totaal woningen";"Amsterdam";"2011";"1000";"2350";"6.0"
"Totaal woningen";"Amsterdam";"2012";"1050";"2350";"7.4"
"Totaal woningen";"Amsterdam";"2013";"1150";"2300";"7.1"
"Totaal woningen";"Amsterdam";"2014*";"850";"2250";"7.0"
"Totaal woningen";"Borne";"2010";"2300";"3750";"-"
"Totaal woningen";"Borne";"2011";"1800";"3700";"-"
"Totaal woningen";"Borne";"2012";"2000";"3700";"."
"Totaal woningen";"Borne";"2013";"2150";"3600";"."
"Totaal woningen";"Borne";"2014*";"1250";"3450";"."
"Totaal woningen";"'s-Gravenhage (gemeente)";"2010";"1550";"2700";"7.0"
"Totaal woningen";"'s-Gravenhage (gemeente)";"2011";"1200";"2700";"7.0"
"Totaal woningen";"'s-Gravenhage (gemeente)";"2012";"1250";"2650";"7.8"
"Totaal woningen";"'s-Gravenhage (gemeente)";"2013";"1350";"2600";"7.6"
"Totaal woningen";"'s-Gravenhage (gemeente)";"2014*";"1000";"2500";"7.4"
"Totaal woningen";"Leidschendam-Voorburg";"2010";"1800";"2900";"-"
"Totaal woningen";"Leidschendam-Voorburg";"2011";"1400";"2850";"-"
"Totaal woningen";"Leidschendam-Voorburg";"2012";"1450";"2800";"."
"Totaal woningen";"Leidschendam-Voorburg";"2013";"1550";"2800";"."
"Totaal woningen";"Leidschendam-Voorburg";"2014*";"1150";"2650";"."
"Totaal woningen";"Rotterdam";"2010";"1250";"2650";"15.0"
"Totaal woningen";"Rotterdam";"2011";"950";"2650";"15.0"
"Totaal woningen";"Rotterdam";"2012";"1000";"2600";"16.9"
"Totaal woningen";"Rotterdam";"2013";"1050";"2550";"16.3"
"Totaal woningen";"Rotterdam";"2014*";"800";"2500";"15.9"
"Totaal woningen";"Utrecht (gemeente)";"2010";"1250";"2800";"29.0"
"Totaal woningen";"Utrecht (gemeente)";"2011";"950";"2750";"25.0"
"Totaal woningen";"Utrecht (gemeente)";"2012";"900";"2650";"31.4"
"Totaal woningen";"Utrecht (gemeente)";"2013";"1000";"2650";"27.7"
"Totaal woningen";"Utrecht (gemeente)";"2014*";"750";"2550";"26.8"
"Totaal woningen";"Zoetermeer";"2010";"1450";"3400";"5.0"
"Totaal woningen";"Zoetermeer";"2011";"1100";"3350";"5.0"
